frameIndex;frameTime;pcm_LOGenergy
272;2.720000;-1.717199e+01
273;2.730000;-1.757076e+01
274;2.740000;-1.805486e+01
275;2.750000;-1.804165e+01
276;2.760000;-1.808786e+01
277;2.770000;-1.848067e+01
278;2.780000;-1.885922e+01
279;2.790000;-1.931788e+01
280;2.800000;-1.974791e+01
281;2.810000;-1.967703e+01
282;2.820000;-1.982389e+01
283;2.830000;-2.062672e+01
284;2.840000;-2.045432e+01
285;2.850000;-2.028854e+01
286;2.860000;-2.073766e+01
287;2.870000;-2.136381e+01
288;2.880000;-2.114037e+01
289;2.890000;-2.138164e+01
290;2.900000;-2.084740e+01
291;2.910000;-2.109997e+01
292;2.920000;-2.097268e+01
293;2.930000;-2.177741e+01
294;2.940000;-2.258611e+01
295;2.950000;-2.395261e+01
296;2.960000;-2.355370e+01
297;2.970000;-2.371004e+01
298;2.980000;-2.301690e+01
299;2.990000;-2.324970e+01
300;3.000000;-2.329946e+01
301;3.010000;-2.305612e+01
302;3.020000;-2.253732e+01
303;3.030000;-2.245071e+01
304;3.040000;-2.379009e+01
305;3.050000;-2.374130e+01
306;3.060000;-2.385908e+01
307;3.070000;-2.432908e+01
308;3.080000;-2.333055e+01
309;3.090000;-2.262174e+01
310;3.100000;-2.244635e+01
311;3.110000;-2.264799e+01
312;3.120000;-2.333055e+01
313;3.130000;-2.371004e+01
314;3.140000;-2.358037e+01
315;3.150000;-2.366492e+01
316;3.160000;-2.401323e+01
317;3.170000;-2.479339e+01
318;3.180000;-2.399261e+01
319;3.190000;-2.399261e+01
320;3.200000;-2.410024e+01
321;3.210000;-2.511184e+01
322;3.220000;-2.499406e+01
323;3.230000;-2.462634e+01
324;3.240000;-2.430091e+01
325;3.250000;-2.455223e+01
326;3.260000;-2.649814e+01
327;3.270000;-2.788443e+01
328;3.280000;-2.788443e+01
329;3.290000;-2.788443e+01
330;3.300000;-4.158871e+01
331;3.310000;-4.158871e+01
332;3.320000;-2.788443e+01
333;3.330000;-2.788443e+01
334;3.340000;-4.158871e+01
335;3.350000;-2.593852e+01
336;3.360000;-2.593852e+01
337;3.370000;-2.580499e+01
338;3.380000;-2.719128e+01
339;3.390000;-2.719128e+01
340;3.400000;-4.158871e+01
341;3.410000;-4.158871e+01
342;3.420000;-4.158871e+01
343;3.430000;-2.788443e+01
344;3.440000;-2.649814e+01
345;3.450000;-2.580499e+01
346;3.460000;-2.448323e+01
347;3.470000;-2.435807e+01
348;3.480000;-2.455223e+01
349;3.490000;-2.719128e+01
350;3.500000;-2.678582e+01
351;3.510000;-2.678582e+01
352;3.520000;-2.719128e+01
353;3.530000;-2.678582e+01
354;3.540000;-2.719128e+01
355;3.550000;-2.593852e+01
356;3.560000;-2.432908e+01
357;3.570000;-2.306415e+01
